region_code,top,population
22,23,2317153
28,62,790044
29,45,1136535
30,52,1005782
31,30,1549151
32,42,1192491
33,34,1358416
34,19,2491036
35,43,1160445
36,22,2324205
79,82,158305
75,49,1059700
37,54,997135
38,21,2391193
7,58,868350
39,50,1012512
40,53,1002575
41,79,313016
9,75,465528
42,17,2657854
43,37,1262402
44,67,633385
23,3,5675462
24,14,2866255
45,59,827166
46,47,1104008
47,28,1875872
48,44,1139371
49,83,140149
77,1,12678079
50,2,7690863
51,63,741404
83,85,44111
52,11,3202946
53,70,596508
54,16,2798170
55,25,1926665
56,24,1956835
57,64,733498
58,36,1305563
59,18,2599260
25,27,1895868
60,68,626115
1,76,463088
4,81,220181
2,7,4038151
3,55,985937
5,13,3110858
6,73,507061
8,80,271135
10,69,614064
11,60,820473
91,26,1912622
12,66,679417
13,61,790197
14,56,971996
15,65,696837
16,8,3902642
17,78,327383
19,72,534262
61,6,4197821
62,46,1108847
63,12,3179532
78,4,5398064
64,20,2421895
65,74,488257
66,5,4310681
92,77,449138
67,57,934889
26,15,2803573
68,51,1006748
69,38,1260379
70,48,1079271
71,33,1466127
72,9,3756536
18,31,1500955
73,40,1229824
27,35,1315643
86,29,1674676
74,10,3466369
20,32,1478726
21,41,1217818
87,84,50288
89,71,544444
76,39,1253389
81,18,2599260
85,21,2391193
99,1,12678079
0,0,0
